id_meurtre,Victime,Maison,Quand1,Quand2,Quand,Lieu,Tueur,Comment,Technique,Raison,Hauteur,Size
  Death #1,Waymar Royce, House Royce  Night's Watch, Season 1, Episode 1,0, Beyond the Wall, White Walker, Ice sword, Blade, Unknown,,
  Death #2,Gared, Night's Watch, Season 1, Episode 1,0, Beyond the Wall, White Walker, Ice sword, Blade, Unknown,,
  Death #3,Will, Night's Watch, Season 1, Episode 1,0, Winterfell, Ned Stark, Sword (Ice), Blade, Deserting the Night's Watch,,
  Death #4,Stag, None, Season 1, Episode 1,0, Winterfell, Direwolf, Direwolf teeth, Animal, Unknown,,
  Death #5,Direwolf, None, Season 1, Episode 1,0, Winterfell, Stag, Antler, Animal, Unknown,,
  Death #6,Jon Arryn, House Arryn, Season 1, Episode 1,0, King's Landing, Lysa Arryn, Poison, Poison, Petyr Baelish persuaded Lysa to do so for reasons unknown,,
  Death #7,Dothraki man, Dothraki, Season 1, Episode 1,0, Pentos, Dothraki man, Arakh, Blade, A Dothraki wedding without at least three deaths is a dull affair,,
  Death #57,Rhaego, Dothraki, Season 1, Episode 10,9, Red Waste, Mirri Maz Duur, Magic, Magic, Killed in a blood magic ritual as revenge,,
  Death #58,Khal Drogo, Dothraki, Season 1, Episode 10,9, Red Waste, Daenerys Targaryen, Pillow, Household item, Killed after being put into a vegetative state by Mirri Maz Duur,,
  Death #59,Mirri Maz Duur, None, Season 1, Episode 10,9, Red Waste, Daenerys Targaryen, Fire, Fire/Burning, Revenge for her having killed Khal Drogo and Rhaego,,
  Death #10,Lady, House Stark, Season 1, Episode 2,1, Kingsroad, Ned Stark, Knife, Blade, Robert Baratheon orders that Lady be killed to appease Cersei  who wants revenge after Nymeria attacked Joffrey,,
  Death #8,Catspaw assassin, None, Season 1, Episode 2,1, Winterfell, Summer, Direwolf teeth, Animal, Attempting to kill Bran Stark,,
